feature,importance,pct_importance
total kms.1_max_7d,0,0.0
max km one day.1_mean_7d,0,0.0
nr. tough sessions effort in Z5 T1 or T2.1_max_7d,0,0.0
max km one day.1_std_7d,0,0.0
max km one day.1_max_7d,0,0.0
max km one day.1_min_7d,0,0.0
total km Z3-Z4-Z5-T1-T2.1_mean_7d,0,0.0
total km Z3-Z4-Z5-T1-T2.1_std_7d,0,0.0
total km Z3-Z4-Z5-T1-T2.1_max_7d,0,0.0
total km Z3-Z4-Z5-T1-T2.1_min_7d,0,0.0
nr. tough sessions effort in Z5 T1 or T2.1_mean_7d,0,0.0
nr. tough sessions effort in Z5 T1 or T2.1_std_7d,0,0.0
min training success.2_mean_7d,0,0.0
min training success.2_std_7d,0,0.0
min training success.2_max_7d,0,0.0
nr. tough sessions effort in Z5 T1 or T2.1_mean_14d,0,0.0
total kms.1_max_14d,0,0.0
total kms.1_min_14d,0,0.0
max km one day.1_mean_14d,0,0.0
